Rider,Number,Bike,"Leogang - 2024 Class","Leogang - 2024 Cost","Leogang - 2024 Status","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Abigail Hogie",,"Beyond Racing","Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Abigail Ronca",,"Evolve Racing","Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Junior Women",8,15,"Junior Women",9,10,"Junior Women",10,5,,,,"Junior Women",8,15,"Junior Women",8,15,"Junior Women",9,10,,,
"Adam Brayton",,"BNC Racing","Elite Men",36000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Rojcek",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aimi Kenyon",,"Unior-Sinter Factory Racing","Elite Women",70000,,,,,,,,"Junior Women",4,40,"Junior Women",7,25,"Junior Women",8,15,,,,,,,"Junior Women",7,25,"Junior Women",2,50,"Junior Women",5,35
"Albertas Turba",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alix Francoz",,"Dorval AM Commencal","Elite Men",29000,,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amaury Pierron",,"Commencal/Muc-Off by Riding Addiction","Elite Men",164000,,"Elite Men",5,140,"Elite Men",15,60,,,,,,,,,,,,,,,,,,,,,,,,
"Amelia Dudek",,,"Junior Women",14000,,"Junior Women",DNQ,0,"Junior Women",10,5,,,,,,,,,,,,,"Junior Women",DNF,0,"Junior Women",9,10,"Junior Women",7,25,,,
"Amund Groven",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anatole Brunel",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andreas Kolb",,"Continental Atherton","Elite Men",205000,,"Elite Men",8,95,"Elite Men",9,80,"Elite Men",8,95,"Elite Men",7,110,"Elite Men",2,210,"Elite Men",15,60,,,,"Elite Men",6,125,"Elite Men",1,250,,,
"Angel Suarez",,"Frameworks Racing","Elite Men",80000,,"Elite Men",9,80,"Elite Men",N/A,0,,,,,,,,,,,,,"Elite Men",7,110,,,,,,,,,
"Angus Ferguson",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Anna Newkirk",,"Beyond Racing","Elite Women",70000,,"Elite Women",11,50,"Elite Women",8,70,,,,,,,"Elite Women",6,90,,,,,,,,,,,,,"Elite Women",10,50
"Anthony Shelly",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antoine Pierron",,"Commencal ICStudio","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,"Elite Men",10,75,,,,"Elite Men",12,68,,,,,,
"Antoine Rogge",,"Lapierre Zipp Collective","Elite Men",34000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Antoine Vidal",,"Commencal Les Orres","Elite Men",44000,,,,,"Elite Men",DNS,0,,,,"Elite Men",17,56,,,,,,,"Elite Men",4,160,,,,,,,"Elite Men",13,65
"Antonio Royo Blesa",,,"Elite Men",14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnau Miro Graslaub",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Arthur Perfillon",,,"Elite Men",27000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asa Vermette",,"Frameworks Racing","Junior Men",80000,,"Junior Men",1,60,"Junior Men",1,60,,,,,,,,,,,,,,,,,,,,,,,,
"Athanasios Paradas",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin Dooley",,"Commencal / Schwalbe","Elite Men",45000,,"Elite Men",26,38,"Elite Men",DNF,0,,,,"Elite Men",19,52,,,,,,,"Elite Men",18,54,,,,,,,,,
"Baptiste Pierron",,"Dorval AM Commencal","Elite Men",37000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",11,71,,,,"Elite Men",18,54,,,,"Elite Men",20,50,"Elite Men",20,50,,,,"Elite Men",18,54
"Benjamin Wilson",,"Raw Fusion Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Benny De Vall",,"Outlaw United","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Benoit Coulanges",,"Dorval AM Commencal","Elite Men",147000,,"Elite Men",4,160,"Elite Men",6,125,,,,,,,"Elite Men",1,250,"Elite Men",16,58,,,,"Elite Men",8,95,"Elite Men",10,75,"Elite Men",8,95
"Bernard Kerr",,"Pivot Factory Racing","Elite Men",115000,,"Elite Men",15,60,"Elite Men",14,63,"Elite Men",4,160,"Elite Men",5,140,"Elite Men",12,68,"Elite Men",13,65,"Elite Men",5,140,"Elite Men",7,110,"Elite Men",18,54,"Elite Men",14,63
"Bode Burke",,"Outlaw United","Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bodhi Kuhn",,"Trek Factory Racing Gravity","Elite Men",46000,,"Elite Men",22,46,"Elite Men",23,44,,,,,,,,,,,,,"Junior Men",5,35,"Junior Men",1,60,"Junior Men",2,50,"Junior Men",2,50
"Braedyn Davis",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Brook Macdonald",,"Forbidden Synthesis Team","Elite Men",27000,,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Bryn Dickerson",,,"Elite Men",34000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Callum Crofts",,"Raw Fusion Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Camille Balanche",,"Dorval AM Commencal","Elite Women",210000,,"Elite Women",2,210,"Elite Women",4,150,,,,,,,,,,,,,,,,"Elite Women",2,210,"Elite Women",2,210,"Elite Women",2,210
"Carter Sloan",,"Synergy 37","Junior Men",16000,,"Junior Men",16,10,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Charles Napier",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie Hatton",,"Continental Atherton","Elite Men",95000,,"Elite Men",24,42,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,"Elite Men",16,58,"Elite Men",10,75
"Charlotte Gaudreau",,,"Elite Women",30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chloe Vionnet",,,"Junior Women",13000,,"Junior Women",DNS,0,,,,,,,,,,"Junior Women",7,25,"Junior Women",9,10,,,,,,,,,,,,
"Christian Hauser",,"Union - Forged by Steel City Media","Junior Men",46000,,"Junior Men",21,5,"Junior Men",DNS,0,,,,,,,,,,"Junior Men",3,45,"Junior Men",2,50,,,,,,,"Junior Men",1,60
"Christoph Handl",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christopher Grice",,Gen-S,"Elite Men",32000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Clement Laugier",,,"Junior Men",15000,,"Junior Men",23,3,"Junior Men",DNQ,0,,,,,,,,,,"Junior Men",9,24,,,,,,,,,,,,
"Colin Mcelyea",,"Evolve Racing","Elite Men",32000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Collier Kee",,"The Gravity Collective","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Constantin Ruetsch",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooper Downey",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakotah Norton",,"Mondraker Factory Racing","Elite Men",170000,,"Elite Men",31,30,"Elite Men",4,160,"Elite Men",6,125,"Elite Men",3,180,,,,"Elite Men",2,210,,,,,,,"Elite Men",14,63,"Elite Men",9,80
"Dan Slack",,"Seton Tuning","Elite Men",31000,,"Elite Men",28,34,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Dane Jewett",,"Pivot Factory Racing","Junior Men",56000,,"Junior Men",3,45,"Junior Men",5,35,,,,"Junior Men",7,28,"Junior Men",8,26,,,,,,,,,,,,,"Junior Men",7,28
"Dani Tell Sanchez",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daniel Castellanos",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Junior Men",6,30,"Junior Men",4,40,,,,,,,,,,,,,"Junior Men",3,45,,,
"Daniel Parfitt",,"BNC Racing","Junior Men",47000,,"Junior Men",7,28,"Junior Men",3,45,,,,,,,,,,,,,,,,,,,,,,,,
"Danny Hart",,"Continental GT Factory Racing","Elite Men",84000,,"Elite Men",20,50,"Elite Men",13,65,,,,,,,,,,,,,,,,"Elite Men",9,80,,,,"Elite Men",12,68
"Dante Silva",,"Canyon CLLCTV Pirelli","Elite Men",34000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Darcy Coutts",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Trummer",,"MS Intense Racing","Elite Men",32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davide Cappello",,"The Gravity Cartel-Rogue Racing","Elite Men",30000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Davide Palazzari",,"The Gravity Cartel-Rogue Racing","Elite Men",39000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",15,60,,,,,,,"Elite Men",7,110,"Elite Men",16,58,,,,,,,,,
"Delphine Bulliard",,,"Elite Women",30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denis Kohut",,,"Elite Men",26000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dom Platt",,"Continental Atherton","Elite Men",30000,,,,,"Elite Men",DNS,0,"Junior Men",5,35,"Junior Men",5,35,,,,"Junior Men",7,28,,,,,,,,,,,,
"Douglas Goodwill",,"Triple Five Racing","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Douglas Vieira",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",26,38,,,,,,,,,,,,,,,,,,,,,,,,
"Dylan Conte",,,"Elite Men",16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dylan Levesque",,"Scott Downhill Factory","Elite Men",48000,,"Elite Men",20,50,"Elite Men",N/A,0,,,,"Elite Men",15,60,"Elite Men",11,71,"Elite Men",6,125,,,,,,,"Elite Men",20,50,"Elite Men",20,50
